Search keyword report
2026-07-14 - 2026-08-11
Search keyword,Campaign,Cost,Impr.,Clicks,Conversions,Conv. value
"buy running shoes",Search — Shoes,412.50,15200,890,11,1650.00
"running shoes for flat feet",Search — Shoes,188.20,6100,340,6,930.00
"what are trail running shoes",Search — Shoes,96.40,8800,410,0,0
"nike pegasus 41",Search — Brand,145.80,4900,380,7,1120.00
"cheap sneakers free shipping",Search — Shoes,84.30,7200,265,1,45.00
"marathon training plan",Search — Content,132.60,9900,520,0,0
"running store near me",Search — Local,66.90,2100,180,4,510.00
"best running shoes 2026",Search — Shoes,238.40,11400,610,5,780.00
"womens running shoes sale",Search — Shoes,171.10,6800,395,6,1010.00
"how to lace running shoes",Search — Content,38.70,4100,170,0,0
Total: Search,,"1,574.90","76,500","4,160",40,"6,045.00"
